customer_id,customer_name,age,gender,city,membership_type,join_date
CUST_1000,Customer_0,54.0,Female,Pune,Platinum,2023-05-31
CUST_1001,Customer_1,51.0,Male,Mumbai,Silver,2023-04-17
CUST_1002,Customer_2,,Female,Kolkata,Gold,2022-07-16
CUST_1003,Customer_3,44.0,Male,Bangalore,Platinum,2022-12-26
CUST_1004,Customer_4,65.0,Female,Pune,Platinum,2021-01-04
CUST_1005,Customer_5,62.0,Female,Chennai,Silver,2021-12-30
CUST_1006,Customer_6,47.0,Female,Kolkata,Gold,2023-01-23
CUST_1007,Customer_7,23.0,Female,Kolkata,Gold,2023-10-20
CUST_1008,Customer_8,53.0,Male,Kolkata,Platinum,2022-03-02
CUST_1009,Customer_9,56.0,Male,Hyderabad,Gold,2022-02-03
CUST_1010,Customer_10,19.0,Male,Bangalore,Gold,2023-08-12
CUST_1011,Customer_11,59.0,Female,Chennai,Silver,2021-10-31
CUST_1012,Customer_12,31.0,Female,Bangalore,Gold,2023-04-20
CUST_1013,Customer_13,25.0,Female,Hyderabad,Gold,2021-04-14
CUST_1014,Customer_14,20.0,Male,Delhi,Gold,2021-12-30
CUST_1015,Customer_15,52.0,Other,Delhi,Gold,2024-01-11
CUST_1016,Customer_16,44.0,Other,Hyderabad,Silver,2022-07-21
CUST_1017,Customer_17,51.0,Other,Hyderabad,Silver,2023-03-11
CUST_1018,Customer_18,45.0,Male,Delhi,Gold,2022-11-07
CUST_1019,Customer_19,48.0,,Hyderabad,Silver,2024-01-14
CUST_1020,Customer_20,34.0,Male,Kolkata,Platinum,2022-01-03
CUST_1021,Customer_21,36.0,Male,Hyderabad,Silver,2022-12-26
CUST_1022,Customer_22,59.0,Female,Hyderabad,Silver,2022-12-16
CUST_1023,Customer_23,61.0,Female,Delhi,Silver,2023-04-05
CUST_1024,Customer_24,28.0,Male,Delhi,Platinum,2024-03-31
CUST_1025,Customer_25,26.0,Other,Pune,Platinum,2021-04-02
CUST_1026,Customer_26,47.0,Male,Bangalore,Platinum,2022-09-16
CUST_1027,Customer_27,62.0,Male,Delhi,Silver,2021-06-18
CUST_1028,Customer_28,23.0,Other,Bangalore,Platinum,2022-01-22
CUST_1029,Customer_29,31.0,Female,Kolkata,Platinum,2021-04-11
CUST_1030,Customer_30,48.0,Male,Kolkata,Silver,2023-10-06
CUST_1031,Customer_31,28.0,Female,Delhi,Gold,2021-07-12
CUST_1032,Customer_32,22.0,Female,Mumbai,Silver,2023-05-20
CUST_1033,Customer_33,48.0,Female,Bangalore,Silver,2022-12-20
CUST_1034,Customer_34,19.0,Male,Hyderabad,Silver,2023-08-21
CUST_1035,Customer_35,56.0,Other,Mumbai,Gold,2023-09-02
CUST_1036,Customer_36,34.0,Other,  chennai  ,Silver,2021-08-16
CUST_1037,Customer_37,55.0,Female,Delhi,Silver,2021-12-27
CUST_1038,Customer_38,63.0,Female,Delhi,Gold,2021-02-12
CUST_1039,Customer_39,53.0,Other,Pune,Silver,2021-06-30
CUST_1040,Customer_40,20.0,Female,Mumbai,Silver,2022-05-26
CUST_1041,Customer_41,60.0,Other,BANGALORE,Silver,2022-04-07
CUST_1042,Customer_42,46.0,Other,Kolkata,Gold,2021-10-13
CUST_1043,Customer_43,50.0,Male,Hyderabad,Silver,2023-11-27
CUST_1044,Customer_44,31.0,Female,Bangalore,Gold,2024-01-12
CUST_1045,Customer_45,55.0,Female,Mumbai,Gold,2023-07-22
